Workload,Work-life Balance,Job Satisfaction,Interpersonal Relationships,Job Security,Recognition and Appreciation,Coping Mechanisms,Physical Symptoms,Mental Fatigue,Job Future,Stress Level
Overwhelming,Often,Dissatisfied,Generally Positive,Insecure,Never,Rarely,Always,Rarely,Very Pessimistic,Moderate
Overwhelming,Sometimes,Neutral,Generally Negative,Very Insecure,Always,Never,Always,Often,Pessimistic,Moderate
Neutral,Never,Very Satisfied,Very Negative,Neutral,Always,Never,Never,Rarely,Optimistic,Normal
Overwhelming,Always,Neutral,Very Positive,Neutral,Sometimes,Always,Never,Often,Neutral,Moderate
Manageable,Rarely,Neutral,Generally Positive,Neutral,Never,Never,Rarely,Often,Very Optimistic,Mild
Very Manageable,Often,Dissatisfied,Very Positive,Insecure,Always,Rarely,Often,Rarely,Neutral,Mild
Overwhelming,Sometimes,Very Dissatisfied,Very Negative,Very Insecure,Always,Always,Never,Often,Pessimistic,Moderate
Very Manageable,Always,Dissatisfied,Generally Negative,Secure,Never,Never,Rarely,Never,Neutral,Mild
Manageable,Sometimes,Neutral,Generally Negative,Neutral,Rarely,Sometimes,Always,Always,Optimistic,Moderate
Neutral,Rarely,Very Dissatisfied,Neutral,Neutral,Never,Often,Rarely,Sometimes,Very Pessimistic,Moderate
Very Manageable,Never,Very Satisfied,Very Negative,Very Insecure,Always,Rarely,Never,Rarely,Very Pessimistic,Mild
Manageable,Often,Neutral,Generally Positive,Very Secure,Rarely,Never,Sometimes,Never,Neutral,Mild
Overwhelming,Always,Satisfied,Very Positive,Very Insecure,Often,Never,Often,Rarely,Optimistic,Mild
Overwhelming,Always,Dissatisfied,Generally Negative,Very Secure,Rarely,Always,Never,Never,Neutral,Moderate
Neutral,Always,Dissatisfied,Neutral,Very Insecure,Often,Sometimes,Rarely,Often,Optimistic,Moderate
Very Manageable,Sometimes,Very Satisfied,Generally Positive,Neutral,Rarely,Sometimes,Always,Always,Very Pessimistic,Moderate
Manageable,Often,Very Dissatisfied,Very Negative,Very Secure,Rarely,Never,Rarely,Sometimes,Very Optimistic,Mild
Extremely Overwhelming,Often,Neutral,Neutral,Neutral,Often,Sometimes,Never,Never,Very Optimistic,Mild
Extremely Overwhelming,Always,Satisfied,Very Negative,Insecure,Never,Always,Never,Often,Neutral,Moderate
Neutral,Never,Very Satisfied,Generally Positive,Very Insecure,Sometimes,Always,Always,Never,Pessimistic,Mild
Overwhelming,Never,Neutral,Generally Negative,Very Insecure,Rarely,Always,Always,Rarely,Very Pessimistic,Moderate
Neutral,Sometimes,Very Dissatisfied,Neutral,Neutral,Sometimes,Sometimes,Sometimes,Sometimes,Very Optimistic,Mild
Very Manageable,Often,Satisfied,Very Positive,Very Secure,Never,Often,Never,Rarely,Pessimistic,Mild
Manageable,Sometimes,Dissatisfied,Generally Positive,Very Secure,Rarely,Often,Often,Never,Optimistic,Mild
Neutral,Sometimes,Very Satisfied,Generally Negative,Neutral,Always,Often,Never,Sometimes,Very Optimistic,Mild
Manageable,Never,Neutral,Generally Positive,Very Secure,Always,Rarely,Never,Often,Pessimistic,Mild
Very Manageable,Always,Dissatisfied,Very Negative,Very Insecure,Sometimes,Always,Rarely,Always,Neutral,Moderate
Overwhelming,Always,Satisfied,Generally Positive,Secure,Always,Rarely,Often,Sometimes,Very Optimistic,Mild
Extremely Overwhelming,Sometimes,Satisfied,Very Negative,Very Secure,Sometimes,Always,Always,Always,Pessimistic,Moderate
Very Manageable,Sometimes,Very Dissatisfied,Neutral,Neutral,Often,Rarely,Never,Rarely,Very Pessimistic,Mild
Very Manageable,Always,Neutral,Very Positive,Insecure,Never,Sometimes,Always,Sometimes,Neutral,Moderate
Neutral,Rarely,Dissatisfied,Neutral,Secure,Sometimes,Never,Rarely,Rarely,Very Pessimistic,Mild
Very Manageable,Often,Satisfied,Neutral,Insecure,Sometimes,Never,Never,Sometimes,Very Optimistic,Mild
Overwhelming,Never,Very Satisfied,Generally Negative,Very Insecure,Never,Always,Always,Always,Optimistic,Moderate
Very Manageable,Often,Very Dissatisfied,Neutral,Neutral,Always,Rarely,Always,Never,Optimistic,Mild
Neutral,Rarely,Very Dissatisfied,Very Negative,Insecure,Never,Always,Sometimes,Sometimes,Very Pessimistic,Moderate
Manageable,Always,Very Satisfied,Generally Positive,Neutral,Often,Rarely,Rarely,Often,Pessimistic,Mild
Extremely Overwhelming,Always,Very Dissatisfied,Very Negative,Insecure,Sometimes,Often,Often,Sometimes,Very Pessimistic,Severe
Extremely Overwhelming,Rarely,Dissatisfied,Generally Positive,Neutral,Never,Sometimes,Never,Always,Optimistic,Moderate
Extremely Overwhelming,Always,Neutral,Very Negative,Secure,Sometimes,Never,Often,Sometimes,Optimistic,Moderate
Manageable,Never,Very Satisfied,Neutral,Very Secure,Rarely,Sometimes,Sometimes,Always,Pessimistic,Mild
Extremely Overwhelming,Sometimes,Neutral,Generally Positive,Neutral,Often,Sometimes,Rarely,Never,Very Optimistic,Mild
Extremely Overwhelming,Often,Dissatisfied,Very Positive,Insecure,Always,Sometimes,Always,Always,Pessimistic,Moderate
Manageable,Sometimes,Very Dissatisfied,Generally Positive,Neutral,Often,Rarely,Sometimes,Rarely,Optimistic,Mild
Overwhelming,Always,Satisfied,Neutral,Very Insecure,Always,Rarely,Never,Never,Optimistic,Mild
Extremely Overwhelming,Often,Satisfied,Very Negative,Secure,Often,Sometimes,Sometimes,Sometimes,Optimistic,Moderate
Manageable,Never,Satisfied,Neutral,Very Insecure,Rarely,Always,Never,Often,Very Optimistic,Mild
Extremely Overwhelming,Rarely,Dissatisfied,Generally Positive,Secure,Sometimes,Never,Never,Rarely,Neutral,Mild
Very Manageable,Never,Very Satisfied,Generally Positive,Secure,Rarely,Often,Rarely,Always,Pessimistic,Mild
Overwhelming,Often,Very Dissatisfied,Neutral,Neutral,Often,Always,Rarely,Always,Optimistic,Moderate
Extremely Overwhelming,Often,Satisfied,Very Positive,Insecure,Always,Never,Rarely,Always,Very Pessimistic,Mild
Overwhelming,Always,Very Dissatisfied,Very Negative,Secure,Never,Always,Always,Sometimes,Optimistic,Severe
Manageable,Never,Dissatisfied,Generally Positive,Neutral,Never,Sometimes,Rarely,Always,Very Optimistic,Mild
Manageable,Always,Dissatisfied,Generally Positive,Very Secure,Often,Never,Rarely,Often,Very Pessimistic,Mild
Overwhelming,Always,Dissatisfied,Neutral,Very Insecure,Never,Rarely,Sometimes,Never,Pessimistic,Moderate
Overwhelming,Always,Satisfied,Generally Negative,Neutral,Rarely,Sometimes,Sometimes,Often,Very Optimistic,Moderate
Extremely Overwhelming,Always,Very Dissatisfied,Very Negative,Very Insecure,Rarely,Rarely,Often,Rarely,Optimistic,Moderate
Very Manageable,Often,Very Satisfied,Very Positive,Secure,Never,Never,Never,Always,Very Pessimistic,Mild
Manageable,Rarely,Dissatisfied,Neutral,Secure,Sometimes,Always,Often,Rarely,Neutral,Mild
Extremely Overwhelming,Rarely,Very Satisfied,Generally Positive,Secure,Rarely,Often,Sometimes,Never,Neutral,Mild
Extremely Overwhelming,Always,Neutral,Generally Negative,Secure,Sometimes,Rarely,Rarely,Often,Pessimistic,Moderate
Extremely Overwhelming,Always,Very Dissatisfied,Very Positive,Insecure,Never,Rarely,Never,Rarely,Optimistic,Moderate
Very Manageable,Never,Very Dissatisfied,Generally Positive,Very Secure,Sometimes,Often,Rarely,Often,Neutral,Mild
Neutral,Always,Neutral,Very Negative,Insecure,Never,Always,Sometimes,Sometimes,Very Optimistic,Moderate
Overwhelming,Sometimes,Very Dissatisfied,Very Negative,Secure,Always,Sometimes,Rarely,Often,Very Optimistic,Mild
Neutral,Often,Neutral,Generally Negative,Very Secure,Always,Always,Often,Always,Very Optimistic,Moderate
Extremely Overwhelming,Sometimes,Very Dissatisfied,Very Negative,Secure,Often,Rarely,Rarely,Rarely,Optimistic,Mild
Manageable,Rarely,Satisfied,Very Negative,Secure,Always,Rarely,Often,Always,Neutral,Mild
Manageable,Sometimes,Very Satisfied,Very Negative,Very Insecure,Rarely,Rarely,Often,Never,Very Pessimistic,Moderate
Very Manageable,Never,Very Satisfied,Neutral,Neutral,Often,Never,Never,Often,Neutral,Normal
Extremely Overwhelming,Always,Very Satisfied,Very Positive,Neutral,Sometimes,Often,Often,Never,Neutral,Mild
Extremely Overwhelming,Often,Very Dissatisfied,Generally Positive,Neutral,Often,Sometimes,Sometimes,Often,Neutral,Moderate
Overwhelming,Never,Very Satisfied,Neutral,Insecure,Sometimes,Never,Often,Sometimes,Optimistic,Mild
Neutral,Sometimes,Very Satisfied,Very Positive,Secure,Never,Rarely,Never,Always,Very Pessimistic,Mild
Neutral,Often,Dissatisfied,Generally Negative,Very Secure,Rarely,Always,Often,Never,Very Optimistic,Moderate
Extremely Overwhelming,Often,Very Dissatisfied,Very Negative,Insecure,Sometimes,Never,Often,Always,Very Pessimistic,Severe
Neutral,Sometimes,Satisfied,Generally Negative,Insecure,Never,Always,Sometimes,Never,Neutral,Moderate
Manageable,Never,Dissatisfied,Neutral,Insecure,Often,Always,Never,Often,Pessimistic,Mild
Manageable,Rarely,Very Satisfied,Very Positive,Very Secure,Rarely,Rarely,Rarely,Often,Neutral,Mild
Extremely Overwhelming,Sometimes,Satisfied,Generally Positive,Neutral,Never,Always,Never,Often,Neutral,Moderate
Neutral,Rarely,Satisfied,Very Positive,Very Insecure,Always,Never,Often,Rarely,Optimistic,Mild
Manageable,Sometimes,Very Satisfied,Very Negative,Secure,Sometimes,Never,Often,Never,Optimistic,Mild
Overwhelming,Never,Satisfied,Neutral,Very Insecure,Sometimes,Always,Often,Always,Neutral,Moderate
Extremely Overwhelming,Often,Very Satisfied,Generally Negative,Very Insecure,Never,Rarely,Sometimes,Never,Pessimistic,Moderate
Neutral,Never,Satisfied,Generally Negative,Neutral,Sometimes,Sometimes,Often,Often,Pessimistic,Moderate
Neutral,Often,Very Dissatisfied,Very Positive,Very Secure,Never,Always,Never,Rarely,Very Pessimistic,Moderate
Very Manageable,Sometimes,Very Dissatisfied,Generally Negative,Secure,Always,Sometimes,Sometimes,Often,Pessimistic,Mild
Very Manageable,Often,Very Satisfied,Generally Negative,Secure,Often,Often,Often,Rarely,Very Pessimistic,Mild
Neutral,Always,Dissatisfied,Very Negative,Neutral,Sometimes,Always,Often,Rarely,Very Pessimistic,Moderate
Manageable,Rarely,Very Satisfied,Neutral,Very Secure,Always,Often,Rarely,Sometimes,Pessimistic,Mild
Extremely Overwhelming,Never,Neutral,Neutral,Very Secure,Often,Often,Never,Often,Very Optimistic,Mild
Overwhelming,Always,Dissatisfied,Very Negative,Neutral,Often,Always,Sometimes,Often,Very Pessimistic,Moderate
Neutral,Rarely,Dissatisfied,Generally Positive,Neutral,Always,Rarely,Sometimes,Often,Neutral,Mild
Very Manageable,Always,Very Dissatisfied,Very Positive,Very Secure,Rarely,Never,Never,Sometimes,Pessimistic,Mild
Extremely Overwhelming,Always,Very Satisfied,Generally Positive,Secure,Rarely,Never,Rarely,Always,Very Pessimistic,Moderate
Very Manageable,Sometimes,Satisfied,Very Positive,Insecure,Rarely,Sometimes,Never,Never,Optimistic,Mild
Very Manageable,Always,Dissatisfied,Generally Positive,Very Secure,Often,Never,Always,Never,Very Optimistic,Mild
Manageable,Rarely,Very Dissatisfied,Very Negative,Very Insecure,Always,Often,Sometimes,Never,Optimistic,Mild
Very Manageable,Sometimes,Satisfied,Generally Negative,Very Secure,Often,Often,Always,Often,Very Pessimistic,Moderate
Extremely Overwhelming,Always,Very Satisfied,Generally Negative,Insecure,Rarely,Always,Always,Rarely,Very Pessimistic,Moderate
Very Manageable,Always,Satisfied,Generally Positive,Insecure,Rarely,Always,Sometimes,Often,Neutral,Moderate
Neutral,Often,Very Dissatisfied,Very Negative,Very Secure,Always,Never,Never,Rarely,Neutral,Mild
Extremely Overwhelming,Always,Dissatisfied,Generally Negative,Very Insecure,Rarely,Always,Always,Never,Pessimistic,Severe
Manageable,Rarely,Dissatisfied,Neutral,Secure,Always,Never,Sometimes,Never,Neutral,Mild
Manageable,Rarely,Very Dissatisfied,Generally Positive,Insecure,Often,Often,Always,Rarely,Optimistic,Mild
Very Manageable,Always,Very Satisfied,Very Negative,Secure,Sometimes,Often,Never,Often,Neutral,Mild
Manageable,Sometimes,Very Satisfied,Neutral,Very Insecure,Sometimes,Always,Often,Never,Pessimistic,Moderate
Extremely Overwhelming,Rarely,Very Satisfied,Generally Negative,Very Insecure,Often,Never,Sometimes,Always,Optimistic,Mild
Overwhelming,Sometimes,Very Satisfied,Very Positive,Neutral,Never,Often,Never,Rarely,Optimistic,Mild
Neutral,Always,Neutral,Generally Positive,Neutral,Never,Often,Rarely,Sometimes,Pessimistic,Moderate
Extremely Overwhelming,Often,Dissatisfied,Generally Negative,Insecure,Always,Often,Always,Never,Pessimistic,Moderate
Neutral,Always,Dissatisfied,Very Positive,Neutral,Sometimes,Sometimes,Sometimes,Always,Neutral,Moderate
Very Manageable,Always,Very Satisfied,Very Negative,Insecure,Sometimes,Never,Rarely,Often,Neutral,Mild
Very Manageable,Never,Satisfied,Generally Positive,Very Insecure,Sometimes,Rarely,Always,Often,Optimistic,Mild
Neutral,Rarely,Very Satisfied,Very Positive,Very Insecure,Always,Always,Never,Rarely,Pessimistic,Mild
Extremely Overwhelming,Sometimes,Very Satisfied,Generally Positive,Neutral,Never,Rarely,Always,Sometimes,Optimistic,Moderate
Very Manageable,Never,Neutral,Generally Positive,Very Insecure,Often,Never,Never,Often,Optimistic,Mild
Manageable,Never,Satisfied,Very Negative,Insecure,Often,Always,Rarely,Rarely,Neutral,Mild
Very Manageable,Never,Satisfied,Generally Positive,Very Insecure,Rarely,Rarely,Always,Always,Neutral,Mild
Manageable,Sometimes,Neutral,Neutral,Insecure,Never,Never,Rarely,Sometimes,Pessimistic,Mild
Manageable,Rarely,Dissatisfied,Very Negative,Secure,Never,Always,Rarely,Sometimes,Optimistic,Moderate
Neutral,Often,Satisfied,Very Negative,Secure,Often,Sometimes,Never,Sometimes,Very Optimistic,Mild
Overwhelming,Rarely,Satisfied,Generally Negative,Neutral,Never,Always,Always,Sometimes,Optimistic,Moderate
Very Manageable,Always,Dissatisfied,Neutral,Neutral,Always,Sometimes,Sometimes,Often,Pessimistic,Moderate
Extremely Overwhelming,Often,Dissatisfied,Generally Negative,Very Insecure,Rarely,Rarely,Rarely,Always,Very Optimistic,Moderate
Neutral,Often,Neutral,Generally Positive,Very Secure,Never,Often,Never,Always,Pessimistic,Moderate
Extremely Overwhelming,Rarely,Dissatisfied,Very Positive,Very Insecure,Never,Always,Always,Sometimes,Very Pessimistic,Moderate
Manageable,Always,Very Dissatisfied,Generally Positive,Very Secure,Often,Sometimes,Rarely,Never,Optimistic,Mild
Overwhelming,Rarely,Neutral,Neutral,Insecure,Often,Never,Rarely,Always,Neutral,Mild
Very Manageable,Never,Neutral,Very Negative,Very Secure,Sometimes,Always,Sometimes,Always,Pessimistic,Moderate
Very Manageable,Sometimes,Satisfied,Very Negative,Neutral,Never,Rarely,Never,Rarely,Optimistic,Mild
Neutral,Sometimes,Dissatisfied,Very Negative,Insecure,Never,Sometimes,Rarely,Sometimes,Optimistic,Moderate
Manageable,Sometimes,Neutral,Very Negative,Neutral,Never,Sometimes,Rarely,Sometimes,Neutral,Moderate
Neutral,Often,Very Dissatisfied,Generally Negative,Very Insecure,Often,Often,Rarely,Never,Very Pessimistic,Moderate
Manageable,Rarely,Very Satisfied,Generally Negative,Secure,Rarely,Never,Sometimes,Always,Very Pessimistic,Mild
Very Manageable,Sometimes,Very Satisfied,Neutral,Neutral,Never,Often,Always,Often,Optimistic,Moderate
Extremely Overwhelming,Often,Very Satisfied,Generally Positive,Insecure,Rarely,Rarely,Never,Always,Neutral,Moderate
Manageable,Rarely,Neutral,Neutral,Neutral,Always,Sometimes,Rarely,Often,Pessimistic,Mild
Overwhelming,Never,Satisfied,Neutral,Very Insecure,Rarely,Rarely,Sometimes,Sometimes,Optimistic,Mild
Extremely Overwhelming,Never,Neutral,Very Positive,Secure,Rarely,Sometimes,Rarely,Sometimes,Very Optimistic,Mild
Very Manageable,Sometimes,Very Satisfied,Neutral,Secure,Rarely,Often,Rarely,Rarely,Pessimistic,Mild
Manageable,Always,Very Dissatisfied,Very Positive,Neutral,Always,Never,Often,Never,Pessimistic,Mild
Overwhelming,Never,Very Dissatisfied,Generally Negative,Very Insecure,Sometimes,Never,Often,Always,Neutral,Moderate
Very Manageable,Rarely,Satisfied,Generally Negative,Neutral,Always,Often,Always,Never,Very Optimistic,Mild
Neutral,Rarely,Dissatisfied,Neutral,Insecure,Often,Always,Never,Rarely,Very Pessimistic,Moderate
Extremely Overwhelming,Often,Very Satisfied,Neutral,Insecure,Sometimes,Often,Often,Rarely,Optimistic,Moderate
Extremely Overwhelming,Never,Neutral,Generally Negative,Insecure,Always,Always,Never,Always,Optimistic,Moderate
Manageable,Rarely,Neutral,Very Negative,Very Secure,Often,Sometimes,Never,Often,Neutral,Mild
Overwhelming,Rarely,Very Dissatisfied,Neutral,Neutral,Rarely,Sometimes,Never,Often,Optimistic,Moderate
Manageable,Often,Very Dissatisfied,Neutral,Secure,Often,Always,Sometimes,Rarely,Very Pessimistic,Moderate
Extremely Overwhelming,Never,Very Satisfied,Generally Negative,Very Insecure,Never,Always,Sometimes,Sometimes,Very Pessimistic,Moderate
Overwhelming,Sometimes,Very Satisfied,Very Positive,Very Insecure,Never,Often,Sometimes,Always,Neutral,Moderate
Extremely Overwhelming,Never,Satisfied,Generally Negative,Very Insecure,Rarely,Sometimes,Often,Always,Optimistic,Moderate
Neutral,Sometimes,Neutral,Very Negative,Insecure,Sometimes,Often,Rarely,Always,Very Optimistic,Moderate
Extremely Overwhelming,Often,Satisfied,Generally Negative,Very Secure,Rarely,Sometimes,Often,Rarely,Very Optimistic,Mild
Overwhelming,Never,Neutral,Very Negative,Very Secure,Always,Sometimes,Sometimes,Never,Neutral,Mild
Overwhelming,Never,Satisfied,Neutral,Neutral,Often,Often,Never,Sometimes,Very Optimistic,Mild
Neutral,Never,Dissatisfied,Generally Positive,Neutral,Always,Never,Rarely,Sometimes,Very Pessimistic,Mild
Overwhelming,Always,Very Dissatisfied,Generally Positive,Neutral,Often,Sometimes,Never,Sometimes,Neutral,Moderate
Neutral,Always,Satisfied,Very Positive,Very Secure,Sometimes,Always,Rarely,Rarely,Very Pessimistic,Mild
Very Manageable,Rarely,Satisfied,Very Positive,Neutral,Sometimes,Rarely,Never,Often,Very Pessimistic,Mild
Neutral,Sometimes,Satisfied,Neutral,Very Secure,Never,Always,Sometimes,Rarely,Very Pessimistic,Moderate
Very Manageable,Rarely,Satisfied,Neutral,Very Secure,Sometimes,Rarely,Sometimes,Never,Optimistic,Normal
Overwhelming,Never,Dissatisfied,Generally Negative,Secure,Always,Never,Sometimes,Often,Very Pessimistic,Mild
Very Manageable,Rarely,Very Dissatisfied,Very Negative,Neutral,Sometimes,Always,Always,Always,Neutral,Moderate
Extremely Overwhelming,Always,Very Dissatisfied,Very Negative,Neutral,Never,Often,Sometimes,Often,Very Optimistic,Moderate
Manageable,Often,Very Satisfied,Generally Negative,Very Secure,Sometimes,Often,Always,Sometimes,Very Pessimistic,Moderate
Neutral,Always,Very Dissatisfied,Generally Positive,Secure,Sometimes,Sometimes,Often,Sometimes,Pessimistic,Moderate
Very Manageable,Sometimes,Very Dissatisfied,Generally Positive,Very Insecure,Rarely,Often,Never,Never,Optimistic,Mild
Manageable,Often,Dissatisfied,Very Negative,Very Secure,Rarely,Never,Often,Always,Very Optimistic,Moderate
Neutral,Rarely,Dissatisfied,Neutral,Very Insecure,Sometimes,Sometimes,Never,Never,Very Pessimistic,Mild
Neutral,Sometimes,Satisfied,Generally Negative,Very Secure,Rarely,Never,Often,Sometimes,Neutral,Mild
Neutral,Often,Neutral,Neutral,Very Insecure,Never,Always,Often,Always,Optimistic,Moderate
Extremely Overwhelming,Often,Dissatisfied,Very Positive,Very Insecure,Never,Rarely,Rarely,Never,Very Optimistic,Mild
Manageable,Sometimes,Very Satisfied,Generally Negative,Secure,Sometimes,Often,Rarely,Sometimes,Neutral,Mild
Extremely Overwhelming,Never,Satisfied,Neutral,Neutral,Never,Never,Rarely,Always,Neutral,Mild
Neutral,Often,Satisfied,Generally Positive,Neutral,Often,Often,Sometimes,Sometimes,Very Pessimistic,Moderate
Manageable,Never,Very Satisfied,Generally Negative,Secure,Never,Often,Rarely,Always,Pessimistic,Mild
Neutral,Never,Satisfied,Very Positive,Neutral,Always,Often,Rarely,Rarely,Pessimistic,Mild
Neutral,Always,Very Dissatisfied,Generally Positive,Insecure,Always,Never,Never,Never,Very Pessimistic,Mild
Manageable,Rarely,Satisfied,Neutral,Very Secure,Never,Often,Never,Never,Neutral,Mild
Extremely Overwhelming,Rarely,Very Satisfied,Generally Positive,Neutral,Never,Often,Sometimes,Rarely,Optimistic,Mild
Neutral,Rarely,Neutral,Neutral,Neutral,Always,Sometimes,Often,Never,Neutral,Mild
Neutral,Often,Satisfied,Generally Positive,Insecure,Sometimes,Often,Often,Often,Optimistic,Moderate
Overwhelming,Rarely,Very Dissatisfied,Generally Positive,Neutral,Never,Sometimes,Often,Never,Neutral,Moderate
Extremely Overwhelming,Often,Very Dissatisfied,Very Negative,Insecure,Always,Always,Always,Rarely,Very Pessimistic,Severe
Neutral,Rarely,Satisfied,Very Positive,Neutral,Never,Often,Always,Often,Very Optimistic,Mild
Overwhelming,Always,Dissatisfied,Neutral,Insecure,Always,Always,Always,Always,Pessimistic,Moderate
Manageable,Rarely,Very Satisfied,Very Negative,Very Secure,Often,Often,Sometimes,Rarely,Pessimistic,Mild
Manageable,Often,Satisfied,Neutral,Very Insecure,Rarely,Never,Always,Never,Neutral,Mild
Neutral,Sometimes,Very Satisfied,Very Negative,Insecure,Rarely,Rarely,Rarely,Often,Neutral,Moderate
Manageable,Rarely,Neutral,Very Negative,Very Secure,Sometimes,Sometimes,Sometimes,Rarely,Very Optimistic,Mild
Neutral,Sometimes,Very Satisfied,Generally Negative,Very Secure,Always,Always,Always,Never,Very Pessimistic,Mild
Overwhelming,Often,Very Satisfied,Generally Negative,Very Secure,Never,Often,Always,Sometimes,Pessimistic,Moderate
Neutral,Sometimes,Satisfied,Generally Positive,Neutral,Often,Rarely,Rarely,Never,Neutral,Mild
Neutral,Rarely,Very Dissatisfied,Generally Positive,Very Secure,Rarely,Sometimes,Never,Never,Very Pessimistic,Mild
Neutral,Rarely,Satisfied,Very Negative,Very Insecure,Rarely,Sometimes,Often,Sometimes,Optimistic,Moderate
Manageable,Always,Satisfied,Generally Positive,Neutral,Often,Sometimes,Rarely,Never,Optimistic,Mild
Overwhelming,Often,Very Dissatisfied,Very Positive,Insecure,Sometimes,Often,Never,Often,Very Pessimistic,Moderate
Overwhelming,Rarely,Very Satisfied,Generally Positive,Neutral,Sometimes,Sometimes,Often,Always,Very Pessimistic,Moderate
Manageable,Often,Satisfied,Neutral,Very Insecure,Sometimes,Sometimes,Always,Often,Optimistic,Moderate
